,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
15063,Corpo celeste,2011,Missing,Missing,insufficient sample,3.0,Missing,Missing,"After growing up in Switzerland, 13-year-old Marta returns to a city in southern Italy with her mother and older sister. Independent and inquisitive, she joins a catechism class at a local church. However, the games and religious pop songs she encounters there do not nearly satisfy her interest in faith. Struggling to find her place, Marta pushes the boundaries of the class, the priest, and the church."
15065,The Boxtrolls,2014,Missing,Missing,0.1875,16.0,2,"There are two or more women in this movie, but they only talk to each other about a man","An orphaned boy raised by underground creatures called Boxtrolls comes up from the sewers and out of his box to save his family and the town from the evil exterminator, Archibald Snatcher."
15069,Gore Vidal: The United States of Amnesia,2013,Missing,Missing,Missing,Missing,Missing,Missing,"Anchored by intimate, one-on-one interviews with the man himself, Nicholas Wrathall’s new documentary is a fascinating and wholly entertaining tribute to the iconic Gore Vidal. Commentary by those who knew him best—including filmmaker/nephew Burr Steers and the late Christopher Hitchens—blends with footage from Vidal’s legendary on-air career to remind us why he will forever stand as one of the most brilliant and fearless critics of our time."
15070,Double Play: James Benning and Richard Linklater,2013,insufficient sample,1.0,insufficient sample,3.0,Missing,Missing,"In 1985, former oil rig worker Richard Linklater began a film screening society in Austin, Texas, that aimed to show classic art-house and experimental films to a budding community of cinephiles. Eventually incorporating as a nonprofit, the newly branded Austin Film Society raised enough money to fly in their first out-of-town filmmaker: James Benning. Accepting the invitation, Benning met Linklater and the two began to develop a personal and intellectual bond, leading to many future encounters. Starting in the 1960s, Benning had been creating low budget films mostly on his own, while Linklater had just begun to craft his first shorts. The filmmakers have remained close even as their careers have diverged. After the cult success of Slacker, Linklater went on to make films with Hollywood support. Benning, meanwhile, has stayed close to his roots and is mainly an unknown figure in mainstream film culture."
15071,200 Cartas,2013,Missing,Missing,insufficient sample,7.0,Missing,Missing,"Raul, a Puerto Rican born in New York, meets Maria, a young Puerto Rican woman visiting NY, one night. Struck by love at first sight, he travels to Puerto Rico in search of this beautiful girl."
15072,Las horas muertas,2013,Missing,Missing,insufficient sample,2.0,Missing,Missing,"The second film from Aarón Fernández is a Spain-Mexico-France co-production already screened as part of Films in Progress at the 60th edition of the Festival. On the desolate coast of Veracruz, young Sebastián, 17, has to run his uncle's motel single-handed, renting rooms by the hour. That's how he meets Miranda, a regular customer who goes there to wait for a lover who often arrives late, sparking a fleeting game of seduction between the two."
15073,This Is Where I Leave You,2014,insufficient sample,8.0,0.5,18.0,Missing,Missing,"When their father passes away, four grown, world-weary siblings return to their childhood home and are requested -- with an admonition -- to stay there together for a week, along with their free-speaking mother and a collection of spouses, exes and might-have-beens. As the brothers and sisters re-examine their shared history and the status of each tattered relationship among those who know and love them best, they reconnect in hysterically funny and emotionally significant ways."
15074,The 50 Worst Movies Ever Made,2004,Missing,Missing,Missing,Missing,Missing,Missing,There are some movies that are so bad they're good. And there are some movies that are so bad- that they're just bad...
15075,MURPH: The Protector,2013,Missing,Missing,insufficient sample,1.0,Missing,Missing,"A documentary based on the honor, courage and commitment of Navy SEAL LT Michael P. Murphy, who gave his life for his men in 2005 and was posthumously awarded the Medal of Honor in 2007."
15078,"Park Avenue: Money, Power & The American Dream",2012,insufficient sample,2.0,Missing,Missing,Missing,Missing,"If income inequality were a sport, the residents of 740 Park Avenue in Manhattan would all be medalists. This address boasts the highest number of billionaires in the United States."
15079,The Look of Silence,2014,insufficient sample,4.0,insufficient sample,1.0,Missing,Missing,A family that survives the genocide in Indonesia confronts the men who killed one of their brothers.
15082,Cabin Fever: Patient Zero,2014,insufficient sample,8.0,Missing,Missing,Missing,Missing,"A group of friends head to a deserted Caribbean island for a surprise overnight bachelor party only to discover that the island isn't deserted. It's actually the home to a secret medical facility. Not only that, there's something wrong with the water surrounding the island..."
15083,American Sniper,2014,Missing,Missing,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other","U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind."
15084,Fort Bliss,2014,insufficient sample,3.0,0.16666666666666666,12.0,Missing,Missing,"After returning home from an extended tour in Afghanistan, a decorated U.S. Army medic and single mother struggles to rebuild her relationship with her young son."
15085,Tusk,2014,insufficient sample,8.0,insufficient sample,8.0,Missing,Missing,"When his best friend and podcast co-host goes missing in the backwoods of Canada, a young guy joins forces with his friend's girlfriend to search for him."
15086,Protektor,2009,insufficient sample,1.0,insufficient sample,1.0,Missing,Missing,"A Czech journalist joins a Prague radio station what broadcasts Nazi propaganda in order to protect his Jewish wife. However, as the Nazi rule over Czechoslovakia calls for more and more collaboration, his relationship with his wife spirals downward."
15087,Hector and the Search for Happiness,2014,insufficient sample,9.0,insufficient sample,10.0,1,"There are two or more women in this movie, but they don't talk to each other","Hector is a quirky psychiatrist who has become increasingly tired of his humdrum life. As he tells his girlfriend, Clara, he feels like a fraud: he hasn’t really tasted life, and yet he’s offering advice to patients who are just not getting any happier. So Hector decides to break out of his deluded and routine driven life. Armed with buckets of courage and child-like curiosity, he embarks on a global quest in hopes of uncovering the elusive secret formula for true happiness. And so begins a larger than life adventure with riotously funny results."
15090,Concorrenza sleale,2001,insufficient sample,6.0,insufficient sample,8.0,Missing,Missing,"Two linen fabric dealers with their shops close to one another, battle against each other for more and more costumers. Umberto constantly loses clients because of the tough competition brought by Leone, who offers the best prices in the neighborhood. But they leave differences aside when the rise of Fascism places Anti-Semitic politics which rigidly control business like the one conducted by the Jewish Leone, and those new regulations are viewed by Umberto as completely unfair. The long rivalry soon becomes a great friendship."
15091,The Overnighters,2014,Missing,Missing,Missing,Missing,Missing,Missing,"Desperate, broken men chase their dreams and run from their demons in the North Dakota oil fields. A local Pastor's decision to help them has extraordinary and unexpected consequences."
15093,Around the Block,2013,insufficient sample,2.0,Missing,Missing,Missing,Missing,A young Aboriginal boy is torn between his unexpected love of acting and the disintegration of his family.
15094,Space Station 76,2014,insufficient sample,6.0,Missing,Missing,Missing,Missing,"A comedic drama about a group of people (and several robots) living on a space station in a 1970’s-version of the future. When a new Assistant Captain arrives, she inadvertently ignites tensions among the crew, prompting them to confront their darkest secrets. Barely contained lust, jealousy, and anger all bubble to the surface, becoming just as dangerous as the asteroid that’s heading right for them."
15095,Horns,2013,Missing,Missing,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious","In the aftermath of his girlfriend's mysterious death, a young man awakens to strange horns sprouting from his temples."
15096,Annabelle,2014,0.25,16.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,"John Form has found the perfect gift for his expectant wife, Mia - a beautiful, rare vintage doll in a pure white wedding dress. But Mia's delight with Annabelle doesn't last long. On one horrific night, their home is invaded by members of a satanic cult, who violently attack the couple. Spilled blood and terror are not all they leave behind. The cultists have conjured an entity so malevolent that nothing they did will compare to the sinister conduit to the damned that is now... Annabelle."
15097,American Promise,2013,insufficient sample,2.0,Missing,Missing,Missing,Missing,"In 1999, filmmakers Joe Brewster and Michèle Stephenson turned the camera on themselves and began filming their five-year-old son, Idris, and his best friend, Seun, as they started kindergarten at the prestigious Dalton School just as the private institution was committing to diversify its student body. Their cameras continued to follow both families for another 12 years as the paths of the two boys diverged—one continued private school while the other pursued a very different route through the public education system."
15098,Wolf Girl,2001,insufficient sample,1.0,Missing,Missing,Missing,Missing,"Tara Talbot is afflicted with the rare genetic condition hypertrichosis: she is covered head to toe in hair. She lives her life in Harley Dune's Travelling Freak Show, on display as the 'Terrifying Wolf Girl', but underneath she is just a teenage girl who longs to be normal."
15099,Open Windows,2014,insufficient sample,5.0,insufficient sample,5.0,Missing,Missing,"Nick is excited to discover that he's won a dinner date with his favorite actress, Jill Goddard. But when Jill refuses to honor the contest, he receives an offer he can't refuse: the ability to view Jill secretly via computer. Nick begins watching the unknowing star on her webcam, not realizing that this decision will put both himself and Jill at risk as they enter a terrifying world of cat-and-mouse where nothing-and no one-are as they seem."
15100,Happy Christmas,2014,insufficient sample,2.0,insufficient sample,7.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"After a breakup with her boyfriend, a young woman moves in with her older brother, his wife, and their 2-year-old son."
15101,Two Night Stand,2014,insufficient sample,8.0,insufficient sample,10.0,Missing,Missing,"After an extremely regrettable one night stand, two strangers wake up to find themselves snowed in after sleeping through a blizzard that put all of Manhattan on ice. They're now trapped together in a tiny apartment, forced to get to know each other way more than any one night stand should."
15102,Chained Heat 2,1993,insufficient sample,1.0,insufficient sample,6.0,Missing,Missing,An American tourist lands in a Slavic prison run by a twisted woman and the U.S. ambassador.
15104,Dracula Untold,2014,Missing,Missing,Missing,Missing,0,Fewer than two women in this movie,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire, Dracula."
15105,Charles Bradley: Soul of America,2012,Missing,Missing,Missing,Missing,Missing,Missing,"The incredible rise to fame of 63-year-old aspiring soul singer Charles Bradley, whose debut album took him from a hard life in the Brooklyn Housing Projects to Rolling Stone Magazine's top 50 albums of 2011."
15106,Torrente 3: El protector,2005,insufficient sample,2.0,0.0625,16.0,Missing,Missing,"A popular and beautiful politician plans to expose the evil-doings of a multinational corporation. Hoping to silence her, the corporation's top executives decide to hire the most incompetent detective they can find to act as her bodyguard."
15107,Stretch,2014,0.26666666666666666,15.0,Missing,Missing,Missing,Missing,A hard-luck limo driver struggling to go straight and pay off a debt to his bookie takes on a job with a crazed passenger whose sought-after ledger implicates some seriously dangerous criminals.
15108,The Sleeping Car,1990,Missing,Missing,insufficient sample,10.0,Missing,Missing,Jason (David Naughton) moves into an abandoned train car where he resurrects the vicious ghost of his landlady's dead husband... The Mister. After some near-fatal encounters with the violent specter he seeks local exorcist Vincent Tuttle (Kevin McCarthy).
15110,The Prince,2014,0.125,16.0,Missing,Missing,Missing,Missing,A family man who turns out to be a retired mob enforcer must travel across the country to find his daughter who has gone missing.
15111,As I Lay Dying,2013,Missing,Missing,Missing,Missing,Missing,Missing,"Based on the 1930 classic by Faulkner, it is the story of the death of Addie Bundren and her family's quest to honor her wish to be buried in the nearby town of Jefferson."
15112,Nicky's Family,2011,insufficient sample,1.0,insufficient sample,1.0,Missing,Missing,"Nicky's Family is a gripping documentary from the International Emmy Award winning producers Patrik Pass and Matej Minac about a rescue operation of the “British Schindler” - Sir Nicholas  Winton who will celebrate this year 103rd birthday. His story has no parallel in modern history. Dramatic reenactments, some of the archive footage never seen before, rescued ""children"" together with Mr. Winton himself recount this unique story which even after 70 years continues to inspire people, especially children, to make this world a better place.  World personalities His Holiness Dalai Lama and Nobel Prize winner Elie Wiesel also took part. ( - from the film's press kit)"
15113,The Adventurer: The Curse of the Midas Box,2013,insufficient sample,5.0,Missing,Missing,Missing,Missing,"Seventeen-year-old Mariah Mundi's life is turned upside down when his parents vanish and his younger brother is kidnapped. Following a trail of clues to the darkly majestic Prince Regent Hotel, Mariah discovers a hidden realm of child-stealing monsters, deadly secrets and a long-lost artefact that grants limitless wealth—but also devastating supernatural power. With the fate of his world, and his family at stake, Mariah will risk everything to unravel the Curse of the Midas Box."
15115,Legendary,2010,Missing,Missing,Missing,Missing,Missing,Missing,"A book-smart teenager joins his school's wrestling team as a way to reunite his surviving family members, who split apart after the death of his father, a college wrestling legend, 10 years ago."
15116,The War Boys,2009,insufficient sample,3.0,insufficient sample,7.0,Missing,Missing,"David, George, and Greg, best friends since high school, are “The War Boys”. They used to perch on the US-Mexican border, waiting to spot illegal immigrants who were trying to run into the United States. Sometimes, without a thought for the immigrants, the boys chased them across the wasteland and back across the border – just for fun. It was just one of those games boys played to make themselves feel big. But high school’s over now. David is unexpectedly home from his freshman year of college and the War Boys have been reunited."
15117,The Entitled,2011,insufficient sample,6.0,insufficient sample,9.0,Missing,Missing,"Without the security of the job he wants or the future he dreamed of, Paul Dynan plans the perfect crime to help his struggling family – abduct the socialite children of three wealthy men and collect a ransom of $3-million dollars. Over the course of one long night, Paul and his accomplices hold the rich kids hostage awaiting the ransom with little idea of the secrets that will surface between the fathers when they are forced to choose between their children and their money."
15118,The Magic of Ordinary Days,2005,insufficient sample,2.0,insufficient sample,8.0,Missing,Missing,"Pregnant out of wedlock, an educated young woman is pressured by her father into an arranged marriage with a lonely farmer in this drama set during WWII."
15119,Ratko: The Dictator's Son,2009,insufficient sample,1.0,0.3333333333333333,15.0,Missing,Missing,The son of a dictator travels to the U.S. to attend college.
15120,The Captive,2014,insufficient sample,9.0,0.5384615384615384,13.0,Missing,Missing,"Eight years after the disappearance of Cassandra, some disturbing incidents seem to indicate that she's still alive. Police, parents and Cassandra herself, will try to unravel the mystery of her disappearance."
